name,acronym,rnc,token,email,website,slug,province_id,municip_id,sector_id,hood_id,phone,address,picture,recaudationCode,status_insti,created_at,updated_at
Dirección General de Migración,MIGRACION,999999999,3324,info@migracion.gob.do,https://migracion.gob.do/,direcciÃ³n-general-de-migraciÃ³n,1,1,1,38,(809) 508-2555,"Autopista 30 de Mayo, Esq. Heroes de Luperón",https://psplbk.serviciosrd.gob.do/storage/logos/logo17.png,38928398,1,2018-11-13 20:52:27,2022-04-04 12:28:27
Empresa Distribuidora de Electricidad del Norte,EDENORTE,11111111111,d97a2c56-a382-4e05-b69e-9bf75d838536,info@edenorte.com.do,www.edenorte.com.do,empresa-distribuidora-de-electricidad-del-norte,25,165,821,8085,(809) 241-9090,Av Juan Pablo Duarte 87,https://psplbk.serviciosrd.gob.do/storage/logos/logo18.png,0006,1,2018-12-28 19:12:09,2022-04-04 12:30:47
Empresa Distribuidora de Electricidad del Este,EDEESTE,1651368523,d97a2c56-a382-4e05-b69e-9bf75d838536,contacto.edeeste24@edeeste.com.do,www.edeeste.com.do,empresa-distribuidora-de-electricidad-del-este,32,218,1104,11155,(809) 788-2373,"Ave. San Vicente de Paúl, Centro Comercial Megacentro",https://psplbk.serviciosrd.gob.do/storage/logos/logo19.png,0006,1,2018-12-30 14:06:59,2022-04-04 12:49:05
Centro de Exportación e Inversión de la República Dominicana,PRODOMINICANA,38723878,c65840bc-14e8-4943-945b-df16ad2022bb,servicios@prodominicana.gob.do,www.prodominicana.gob.do,centro-de-exportaciÃ³n-e-inversiÃ³n-de-la-repÃºblica-dominicana,1,1,1,12,(809) 530-5505,Av Gregorio Luperón,https://psplbk.serviciosrd.gob.do/storage/logos/logo20.png,0012,1,2019-01-04 17:17:56,2022-04-04 13:53:04
Administradora de Riesgos de Salud para Maestro,ARS-SEMMA,9999999999,,info@arssemma.gob.do,www.semma.gob.do,administradora-de-riesgos-de-salud-para-maestro,1,1,1,40,(809) 688-6646,"Calle Santiago #705, Zona Universitaria, Santo Domingo, D. N.",https://psplbk.serviciosrd.gob.do/storage/logos/logo21.png,9999,1,2019-02-18 13:16:03,2022-04-04 13:47:18
Ministerio de Educación,MINERD,401007339,,info@minerd.gob.do,www.ministeriodeeducacion.gob.do,ministerio-de-educaciÃ³n,1,1,1,40,(809) 688-9700,"Ave. Máximo Gómez esquina Santiago, No.02 Gazcue, Distrito Nacional,",https://psplbk.serviciosrd.gob.do/storage/logos/logo22.png,9999,1,2019-02-18 13:49:38,2022-04-04 13:59:37
Dirección General de Pasaportes,DGP,1312,132,comunicaciones@pasaportes.gob.do,www.pasaportes.gob.do,direcciÃ³n-general-de-pasaportes,1,1,1,38,(809) 532-4233,"Ave. George Washington # 1, Esq. Héroes de Luperon",https://psplbk.serviciosrd.gob.do/storage/logos/logo23.png,1312,1,2019-02-21 13:34:08,2019-06-17 10:03:21
Ayuntamiento del Distrito Nacional,ADN,401007479,,info@adn.gob.do,www.adn.gob.do,ayuntamiento-del-distrito-nacional,1,1,1,38,(809) 576-7375,Avenida Jiménez Moya,https://psplbk.serviciosrd.gob.do/storage/logos/logo24.png,8888,1,2019-02-28 23:06:31,2022-06-06 09:23:46
Dirección General de Bienes Nacionales,DGBN,,ecf56339-081a-4bf8-8fd9-4e0dd5ef2345,info@bn.gob.do,www.bn.gob.do,direcciÃ³n-general-de-bienes-nacionales,1,1,1,53,(809) 686-5959,C/Pedro Henriquez Ureña Esq. Pedro A. Lluberes,https://psplbk.serviciosrd.gob.do/storage/logos/logo25.png,0010,1,2019-03-26 14:49:42,2019-06-30 15:12:31
Ministerio de Interior y Policía,MIP,401007304,,info@mip.gob.do,www.mip.gob.do,ministerio-de-interior-y-policÃ­a,1,1,1,53,(809) 686-6251,"Av. México, Edificio de Oficinas Gubernamentales Gazcue, Av. John F. Kennedy 419, Santo Domingo 10201",https://psplbk.serviciosrd.gob.do/storage/logos/logo26.png,,1,2019-03-29 14:06:18,2022-04-04 14:02:22
Ministerio de Hacienda,MH,401007322,,info@hacienda.gov.do,www.hacienda.gob.do,ministerio-de-hacienda,1,1,1,53,(809) 687-5131,"Ave. México # 45, Entre Calle Pedro A. Lluberes y Calle Federico H. Carvajal, Gascue, Santo Domingo, R.D.",https://psplbk.serviciosrd.gob.do/storage/logos/logo27.png,,1,2019-03-29 14:36:50,2022-04-04 14:00:18
Instituto Tecnológico de Las Américas,ITLA,423000589,,info@itla.edu.do,www.itla.edu.do,instituto-tecnolÃ³gico-de-las-amÃ©ricas,32,225,1141,11467,(809) 738-4852,"Autopista Las Américas, Km. 27, PCSD",https://psplbk.serviciosrd.gob.do/storage/logos/logo28.png,,1,2019-03-29 14:40:03,2022-04-04 13:58:02
Instituto Dominicano de las Telecomunicaciones,INDOTEL,401508915,,.@indotel.gob.do,www.indotel.gob.do,instituto-dominicano-de-las-telecomunicaciones,1,1,1,11499,(829) 732-5555,Av. Abraham Lincoln No.962,https://psplbk.serviciosrd.gob.do/storage/logos/logo29.png,,1,2019-03-29 14:44:27,2022-09-15 00:42:10
Procuraduría General de la República,PGR,401007371,,info@pgr.gob.do,www.pgr.gob.do,procuradurÃ­a-general-de-la-repÃºblica,1,1,1,38,(809) 533-3522,Ave. Jiménez Moya Esq. Juan Ventura Simó,https://psplbk.serviciosrd.gob.do/storage/logos/logo30.png,,1,2019-03-29 20:35:07,2022-04-04 14:02:50
Servicio Nacional de Salud,SNS,401516454,,info@sns.gob.do,www.sns.gob.do/,servicio-nacional-de-salud,1,1,1,53,(809) 221-3637,"Av. Leopoldo Navarro esq. César Nicolás Penson, Gascue, Santo Domingo, R. D.",https://psplbk.serviciosrd.gob.do/storage/logos/logo31.png,,1,2019-03-29 23:19:42,2022-04-04 14:03:49
Superintendencia de Electricidad,SIE,401513064,,info@sie.gov.do,http://www.sie.gob.do,superintendencia-de-electricidad,1,1,1,18,(809) 683-2500,"Av. John F. Kennedy No.3, Esq. Erick Leonard Eckman, Arroyo Hondo I",https://psplbk.serviciosrd.gob.do/storage/logos/logo32.png,88888862,1,2019-03-29 23:37:30,2019-04-01 15:49:51
Ministerio de Agricultura,AGRICULTURA,401007381,,info@agricultura.gob.do,www.agricultura.gob.do,ministerio-de-agricultura,1,1,1148,11498,(809) 547-3888,Autopista Duarte KM 6 ½ Los Jardines del Norte,https://psplbk.serviciosrd.gob.do/storage/logos/logo33.png,,1,2019-03-30 17:07:31,2022-04-04 13:58:49
"Ministerio de Industria, Comercio y MiPymes",MICM,99999999,,info@micm.gob.do,www.micm.gob.do,"ministerio-de-industria,-comercio-y-mipymes",1,1,1,30,(809) 567-7192,"TORRE MICM, Av. 27 de Febrero No. 306",https://psplbk.serviciosrd.gob.do/storage/logos/logo34.png,,1,2019-03-30 17:21:59,2022-04-04 14:01:38
Instituto Dominicano de Prevención y Protección de Riesgos Laborales,IDOPPRIL,430006612,,servicio.cliente@idoppril.gob.do,http://idoppril.gob.do/,instituto-dominicano-de-prevenciÃ³n-y-protecciÃ³n-de-riesgos-laborales,1,1,1,11500,(809) 563-2757,"Calle 43, No.18, Esq. Rafael Fernández Domínguez",https://psplbk.serviciosrd.gob.do/storage/logos/logo35.png,0,1,2019-04-01 13:23:51,2021-05-19 13:37:09
Administradora de Riesgos de Salud SEMMA,ARS SEMMA,,,info@arssemma.sld.do,http://semma.gob.do,administradora-de-riesgos-de-salud-semma,1,1,1,40,(809) 682-9848,Calle Santiago No.705,https://psplbk.serviciosrd.gob.do/storage/logos/logo36.png,,0,2019-04-01 14:22:41,2019-11-20 23:08:53
Biblioteca Nacional Pedro Henríquez Ureña,BNPHU,401031337,,info@bnphu.gob.do,http://bnphu.gob.do,biblioteca-nacional-pedro-henrÃ­quez-ureÃ±a,1,1,1,53,(829) 946-2674,Calle César Nicolás Pénson No.33,https://psplbk.serviciosrd.gob.do/storage/logos/logo37.png,888888,1,2019-04-01 15:55:53,2019-06-17 17:35:00
Centro de Capacitación en Política y Gestión Fiscal,CAPGEFI,401051745,,info@cagpgefi.gob.do,http://capgefi.gov.do,centro-de-capacitaciÃ³n-en-polÃ­tica-y-gestiÃ³n-fiscal,1,1,1,53,(809) 688-6544,"Calle Pedro A. Lluberes esq. Av. Francia, 4to Piso Edif. anexo al Ministerio de Hacienda",https://psplbk.serviciosrd.gob.do/storage/logos/logo38.png,,1,2019-04-01 16:43:21,2019-06-17 17:35:33
Universidad Autónoma de Santo Domingo,UASD,401004194,ddddd,info@uasd.edu.do,https://www.uasd.edu.do,universidad-autÃ³noma-de-santo-domingo,1,1,1,40,(809) 535-8273,Ave. Alma Máter,https://psplbk.serviciosrd.gob.do/storage/logos/logo39.png,0038,1,2019-04-02 14:20:03,2020-08-19 09:49:49
Dirección General de Jubilaciones y Pensiones a Cargo del Estado,DGJP,430061948,,infodgjp@hacienda.gov.do,http://dgjp.gob.do,direcciÃ³n-general-de-jubilaciones-y-pensiones-a-cargo-del-estado,1,1,1,53,(809) 687-2222,"Calle Federico Henríquez y Carvajal No.45, casi esquina Francia",https://psplbk.serviciosrd.gob.do/storage/logos/logo40.png,,1,2019-04-02 14:25:44,2019-06-17 10:01:07
Instituto Dominicano de Aviación Civil,IDAC,430044857,,info@idac.gov.do,http://idac.gob.do,instituto-dominicano-de-aviaciÃ³n-civil,1,1,1,11499,(809) 221-7909,Ave. México Esq. 30 de Marzo,https://psplbk.serviciosrd.gob.do/storage/logos/logo41.png,,1,2019-04-02 14:35:31,2019-06-17 17:36:28
Instituto Nacional de Tránsito y Transporte Terrestre,INTRANT,430231568,,info@intrant.gob.do,http://intrant.gob.do,instituto-nacional-de-trÃ¡nsito-y-transporte-terrestre,1,1,1,11500,(809) 338-6134,Calle Pepillo Salcedo frente al Estadio Quisqueya,https://psplbk.serviciosrd.gob.do/storage/logos/logo42.png,,1,2019-04-02 14:51:31,2019-06-17 17:36:42
Consejo Nacional de la Persona Envejeciente,CONAPE,430027936,,info@conape.gob.do,http://conape.gob.do,consejo-nacional-de-la-persona-envejeciente,1,1,1,53,(809) 688-4433,Calle Santiago No.4,https://psplbk.serviciosrd.gob.do/storage/logos/logo43.png,,1,2019-04-02 16:24:51,2019-06-17 17:45:44
Seguro Nacional de Salud,SENASA,401516454,,arssenasa@arssenasa.gov.do,http://arssenasa.gob.do,seguro-nacional-de-salud,1,1,1,41,(809) 333-3822,Avenida 27 de Febrero casi Esq. Tiradentes,https://psplbk.serviciosrd.gob.do/storage/logos/logo44.png,,1,2019-04-03 13:41:45,2019-05-24 16:49:56
Gabinete de Coordinación de Políticas Sociales,GCPS,424002126,,contacto@gabsocial.gob.do,https://gabinetesocial.gob.do/#,gabinete-de-coordinaciÃ³n-de-polÃ­ticas-sociales,1,1,1,31,(809) 534-2105,"Ave. Leopoldo Navarro #61, Edif. San Rafael, 2do. Nivel. Ensanche San Juan Bosco.",https://psplbk.serviciosrd.gob.do/storage/logos/logo45.png,,1,2019-04-03 14:08:25,2019-06-17 17:36:06
Ministerio de Administración Pública,MAP,401036746,,info@map.gob.do,https://map.gob.do,ministerio-de-administraciÃ³n-pÃºblica,1,1,1,22,(809) 682-3298,Ave. 27 de Febrero No.419,https://psplbk.serviciosrd.gob.do/storage/logos/logo46.png,,1,2019-04-03 14:21:16,2019-06-17 17:37:43
Dirección General del Catastro Nacional,DGCN,88888888,,contacto@catastro.gob.do,http://catastro.gob.do,direcciÃ³n-general-del-catastro-nacional,1,1,1,38,(809) 535-7115,"Av. Jiménez Moya esq. Av. Independencia, Centro de los Héroes, Santo Domingo, Rep. Dom",https://psplbk.serviciosrd.gob.do/storage/logos/logo47.png,88888888,1,2019-04-03 15:09:10,2019-06-17 10:08:24
Archivo General de la Nación,AGN,88888888,,info@agn.gob.do,http://www.agn.gob.do,archivo-general-de-la-naciÃ³n,1,1,1,13,(809) 362-1111,C/ General Modesto Díaz #2,https://psplbk.serviciosrd.gob.do/storage/logos/logo48.png,88888,1,2019-04-03 19:33:53,2019-06-17 17:34:04
Ministerio de Energía y Minas,MEM,430146366,416769d2-2468-41b5-917f-8dfe4aa0383d,info@mem.gob.do,https://mem.gob.do,ministerio-de-energÃ­a-y-minas,1,1,1,42,(809) 373-1800,"Ave. Tiradentes No.53, esquina Heriberto Pieter, Bloque B",https://psplbk.serviciosrd.gob.do/storage/logos/logo49.png,0014,1,2019-04-04 14:13:27,2019-08-27 17:01:54
Cuerpo Especializado de Seguridad Turistica,CESTUR,888888,,infor@cestur.gob.do,http://cestur.gob.do,cuerpo-especializado-de-seguridad-turistica,1,1,1,11507,(809) 222-2026,"Gustavo Mejía Ricart No.121, Esq. Teodoro Chasseriau",https://psplbk.serviciosrd.gob.do/storage/logos/logo50.png,888888,1,2019-04-04 14:21:37,2019-04-08 16:55:55
Consultoría Jurídica del Poder Ejecutivo,CJPE,401518211,,iconsultoriajuridica@consultoria.gov.do,http://www.consultoria.gov.do,consultorÃ­a-jurÃ­dica-del-poder-ejecutivo,1,1,1,53,(809) 695-8000,"Ave. México esq. Dr. Delgado, Palacio de la Presidencia de la República",https://psplbk.serviciosrd.gob.do/storage/logos/logo51.png,,1,2019-04-04 14:53:20,2019-06-17 17:38:33
Instituto Nacional de Formación Técnico Profesional,INFOTEP,401051788,,contacto@infotep.gob.do,http://infotep.gov.do,instituto-nacional-de-formaciÃ³n-tÃ©cnico-profesional,1,1,1,51,(809) 566-4161,Calle Paseo de Los Ferreteros #3,https://psplbk.serviciosrd.gob.do/storage/logos/logo52.png,,1,2019-04-04 15:15:22,2019-06-17 17:39:44
Oficina Nacional de la Propiedad Industrial,ONAPI,401517231,,servicioalcliente@onapi.gob.do,http://onapi.gob.do,oficina-nacional-de-la-propiedad-industrial,1,1,1,14,(809) 567-7474,Ave. de Los Próceres 11,https://psplbk.serviciosrd.gob.do/storage/logos/logo53.png,,1,2019-04-04 15:51:31,2019-04-10 12:59:57
Ministerio de Salud Pública,MSP,401007398,,correo@salud.gob.do,http://www.msp.gob.do/,ministerio-de-salud-pÃºblica,1,1,1,44,(809) 541-3121,Ave.Hector Homero Hernandez Vargas (Ant. San Cristobal) esq. Ave Tiradentes,https://psplbk.serviciosrd.gob.do/storage/logos/logo54.png,,1,2019-04-05 13:50:51,2019-06-17 17:40:35
Dirección General de Aduanas,DGA,401039249,,info@dga.gov.do,http://aduanas.gob.do,direcciÃ³n-general-de-aduanas,1,1,1146,11494,(809) 547-7070,"Avenida Abraham Lincoln No.1101, casi esquina John F. Kennedy, Edificio Miguel Cocco",https://psplbk.serviciosrd.gob.do/storage/logos/logo55.png,,1,2019-04-05 14:04:36,2019-06-17 09:59:19
Ministerio de Medio Ambiente y Recursos Naturales,MIMARENA,422000421,e220dbf6-62aa-4aef-a464-90defa9a2749,info@ambiente.gob.do,http://ambiente.gob.do,ministerio-de-medio-ambiente-y-recursos-naturales,1,1,1,8,(809) 567-4300,"Ave. Cayetano Germosén, esq. Av Luperón",https://psplbk.serviciosrd.gob.do/storage/logos/logo56.png,0030,1,2019-04-05 14:12:22,2020-05-18 11:20:03
Dirección General de Ética e Integridad Gubernamental,DIGEIG,430032069,,oai@digeig.gob.do,https://digeig.gob.do,direcciÃ³n-general-de-Ãtica-e-integridad-gubernamental,1,1,1,53,(809) 685-7135,"Calle Moisés García No.9, Esq. Manuel de Jesús Galván",https://psplbk.serviciosrd.gob.do/storage/logos/logo57.png,,1,2019-04-05 14:39:42,2019-06-17 10:00:40
Empresa de Generación Hidroeléctrica Dominicana,EGEHID,430060852,,info@hidroelectrica.gov.do,http://egehid.com.do,empresa-de-generaciÃ³n-hidroelÃ©ctrica-dominicana,1,1,1,30,(809) 533-5555,Avenida Rómulo Betancourt No.303,https://psplbk.serviciosrd.gob.do/storage/logos/logo58.png,,1,2019-04-05 16:13:52,2019-06-17 17:39:22
Superintendencia de Salud y Riesgos Laborales,SISALRIL,424002037,,oai@sisalril.gob.do,http://www.sisalril.gov.do,superintendencia-de-salud-y-riesgos-laborales,1,1,1,32,(809) 227-0714,"Av.27 de Febrero # 261, Ensanche Piantini, Edificio SISALRIL",https://psplbk.serviciosrd.gob.do/storage/logos/logo59.png,,1,2019-04-08 13:42:37,2019-04-08 13:42:37
Ministerio Administrativo de la Presidencia,MAPRE,401036797,,info@presidencia.gob.do,https://mapre.gob.do,ministerio-administrativo-de-la-presidencia,1,1,1,53,(809) 701-8000,Avenida México Esq. Doctor Delgado,https://psplbk.serviciosrd.gob.do/storage/logos/logo60.png,,1,2019-04-08 15:37:58,2019-05-24 16:57:19
Ministerio de Obras Públicas y Comunicaciones,MOPC,401007401,,contacto@mopc.gob.do,http://www.mopc.gob.do/,ministerio-de-obras-pÃºblicas-y-comunicaciones,1,1,1,11500,(809) 565-2811,Calle Héctor Homero Hernández esq. Horacio Blanco Fombona,https://psplbk.serviciosrd.gob.do/storage/logos/logo61.png,,1,2019-04-09 13:27:22,2019-06-17 17:40:11
Ministerio de la Mujer,MMujer,401500647,,info@mmujer.gob.do,https://mujer.gob.do/,ministerio-de-la-mujer,1,1,1,53,(809) 685-3755,"AV. MÉXICO ESQ. 30 DE MARZO, BLOQUE D, SEGUNDO PISO, FRENTE AL PALACIO PRESIDENCIAL",https://psplbk.serviciosrd.gob.do/storage/logos/logo62.png,,1,2019-04-09 14:46:40,2022-03-30 12:10:18
Ministerio de la Juventud,MJ,401052962,,info@juventud.gob.do,http://juventud.gob.do,ministerio-de-la-juventud,1,1,1,33,(809) 508-7227,"Ave. Jiménez de Moya, No. 71, Esq. Calle Desiderio Arias",https://psplbk.serviciosrd.gob.do/storage/logos/logo63.png,,1,2019-04-09 14:51:48,2019-04-09 14:51:48
Ministerio de Trabajo,MIT,401007363,,info@mt.gob.do,https://mt.gob.do,ministerio-de-trabajo,1,1,1,38,(809) 535-4404,Ave. Enrique Jiménez Moya # 5,https://psplbk.serviciosrd.gob.do/storage/logos/logo64.png,,1,2019-04-09 15:28:01,2022-05-17 15:09:03
Central de Apoyo Logístico,PROMESECAL,401518279,,serviciosalcliente@promesecal.gob.do,http://promesecal.gob.do,central-de-apoyo-logÃ­stico,32,222,1118,11305,(829) 893-4764,"Av. Charles de Gaulle, Esq. Alejandro Guillen",https://psplbk.serviciosrd.gob.do/storage/logos/logo65.png,,0,2019-04-09 15:34:54,2022-02-25 10:01:44
Instituto Nacional de Protección de los Derechos del Consumidor,PROCONSUMIDOR,430043923,,info@proconsumidor.gob.do,https://proconsumidor.gob.do/concurso.php,instituto-nacional-de-protecciÃ³n-de-los-derechos-del-consumidor,1,1,1,21,(809) 567-8555,Ave. Charles Summer #33,https://psplbk.serviciosrd.gob.do/storage/logos/logo66.png,,1,2019-04-09 15:52:50,2019-06-17 17:41:54
"Dirección General de Medicamentos, Alimentos y Productos Sanitarios",DIGEMAPS,88888888,,info@ministeriodesalud.gob.do,http://digemaps.msp.gob.do/digemaps/menu/,"direcciÃ³n-general-de-medicamentos,-alimentos-y-productos-sanitarios",1,1,1,44,(809) 541-3129,Ave. Tiradentes Esq. Héctor Homero Hernández,https://psplbk.serviciosrd.gob.do/storage/logos/logo67.png,88888,1,2019-04-09 19:50:18,2019-06-17 17:47:31
Dirección General de Seguridad de Tránsito y Transporte Terrestre,DIGESETT,88888888,,info@digesett.gob.do,http://www.digesett.gob.do,direcciÃ³n-general-de-seguridad-de-trÃ¡nsito-y-transporte-terrestre,1,1,1,56,(809) 686-6520,Ave. Expreso V Centenario Esq. San Martín,https://psplbk.serviciosrd.gob.do/storage/logos/logo68.png,888888,1,2019-04-09 22:36:12,2019-06-17 10:04:00
Reciclaje,de Servicios,,,Reciclaje@reciclaje.com,https://test.gob.do/,reciclaje,4,24,109,755,(809) 345-3453,2345234532,https://psplbk.serviciosrd.gob.do/storage/logos/logo69.png,,0,2019-04-10 19:52:16,2022-02-03 11:55:51
Institucion de Prueba,IDPP,17148680,,a.aranguren@concentra.com.do,www.google.com/aam,institucion-de-prueba,1,1,1,23,(829) 786-0787,"Calle 9 con Jesus Maestro, Mirador Norte",https://psplbk.serviciosrd.gob.do/storage/logos/logo70.png,,0,2019-04-22 19:28:47,2019-05-21 18:11:10
Institucion de Prueba 4,IDP4,17148680,,aliriomiguel@yahoo.es,www.google.com/aam4,institucion-de-prueba-4,1,1,1,23,(829) 456-7893,"Calle 9 con Jesus Maestro, Mirador Norte",https://psplbk.serviciosrd.gob.do/storage/logos/logo71.png,,0,2019-04-23 12:57:09,2020-08-13 16:32:39
Dirección General de Minería,DGM,401037203,a0c8bafd-b3d6-459c-9639-5d14db2b504b,direccion.general@dgm.gov.do,http://dgm.gov.do,direcciÃ³n-general-de-minerÃ­a,1,1,1,53,(809) 685-8191,"Ave. Avenida México Esq. Leopoldo Navarro, Edificio Gubernamental Juan Pablo Duarte, Piso 10",https://psplbk.serviciosrd.gob.do/storage/logos/logo72.png,0017,1,2019-04-23 16:25:35,2022-07-13 15:56:58
Comisión Nacional de Energía,CNE,88888888,888888,cne-info@cne.gob.do,https://www.cne.gob.do,comisiÃ³n-nacional-de-energÃ­a,1,1,1,30,(809) 540-9002,"Ave. Rómulo Betancourt No. 361, Bella Vista Santo Domingo, República Dominicana",https://psplbk.serviciosrd.gob.do/storage/logos/logo73.png,8888,1,2019-05-07 16:41:16,2019-06-14 15:44:56
Instituto de Innovacion en Biotecnologia e Industria,IIBI,88888888,41163304-2df5-420f-8123-536816f2a0b3,servicios@iibi.gob.do,http://www.iibi.gob.do,instituto-de-innovacion-en-biotecnologia-e-industria,1,1,1,13,(809) 566-8121,Calle Olof Palme Esq. Núñez de Cáceres,https://psplbk.serviciosrd.gob.do/storage/logos/logo74.png,0015,1,2019-05-07 16:45:31,2019-06-30 15:26:05
Dirección General de Cine,DGCINE,430108464,c00fceab-3c1f-4f17-93cd-7711475d4e00,info@dgcine.gob.do,http://www.dgcine.gob.do,direcciÃ³n-general-de-cine,1,1,1,53,(809) 687-2166,Calle Cayetano Rodríguez No.154,https://des-psplbk.serviciosrd.gob.do/storage/logos/logo45.png,0024,1,2019-05-07 16:48:56,2021-05-07 10:04:38
Oficina Nacional de Derecho de Autor,ONDA,401508796,674ac5da-b5ae-4e25-aadb-81d3f056b421,info@onda.gob.do,http://onda.gob.do,oficina-nacional-de-derecho-de-autor,1,1,1,32,(829) 593-6632,Paseo de los Locutores #28,https://des-psplbk.serviciosrd.gob.do/storage/logos/logo39.png,0016,1,2019-05-08 14:36:05,2021-05-11 10:48:59
Consejo Nacional de Investigaciones Agropecuarias y Forestales,CONIAF,99999999,99999,info@coniaf.gob.do,http://www.coniaf.gob.do,consejo-nacional-de-investigaciones-agropecuarias-y-forestales,1,1,1,53,(809) 686-0750,"Ave. Felix Maria del Monte # 8, esq. César Nicolás Penson",https://psplbk.serviciosrd.gob.do/storage/logos/logo77.png,99999,1,2019-05-16 11:17:42,2019-05-16 11:17:42
